　	zxaa
ヘ	zjhe
ベ	zjbe
ペ	zjpe
ホ	zjho
ボ	zjbo
ポ	zjpo
マ	zjma
ミ	zjmi
ム	zjmu
メ	zjme
モ	zjmo
ャ	zjya
ヤ	zjya
ュ	zjyu
ユ	zjyu
ョ	zjyo
ヨ	zjyo
ラ	zjra
リ	zjri
ル	zjru
レ	zjre
ロ	zjro
ヮ	zjwa
ワ	zjwa
ヰ	zjwi
ヱ	zjwe
ヲ	zjwo
ン	zjn
ヴ	zjvu
ヵ	zjka
ヶ	zjke
ヷ	zjva
ヸ	zjvi
ヹ	zjve
ヺ	zjvo
ヽ	zjxc
ヾ	zjxd
ヿ	zjxg
ㇰ	zjku
ㇱ	zjsi
ㇲ	zjsu
ㇳ	zjto
ㇴ	zjnu
ㇵ	zjha
ㇶ	zjhi
ㇷ	zjhu
ㇸ	zjhe
ㇹ	zjho
ㇺ	zjmu
ㇻ	zjra
ㇼ	zjri
ㇽ	zjru
ㇾ	zjre
ㇿ	zjro
・	zjxg
ー	zjxh
々	zjxi
〱	zjxj
〲	zjxk
〳	zjxl
〴	zjxm
〵	zjxn
〄	zjjis
ㄅ	zzb
ㄆ	zzp
ㄇ	zzm
ㄈ	zzf
ㄉ	zzd
ㄊ	zzt
ㄋ	zzn
ㄌ	zzl
ㄍ	zzg
ㄎ	zzk
ㄏ	zzh
ㄐ	zzj
ㄑ	zzq
ㄒ	zzx
ㄓ	zzzh
ㄔ	zzch
ㄕ	zzsh
ㄖ	zzr
ㄗ	zzz
ㄘ	zzc
ㄙ	zzs
ㄧ	zzi
ㄨ	zzu
ㄩ	zzv
ㄚ	zza
ㄛ	zzo
ㄜ	zze
ㄝ	zze
ㄞ	zzai
ㄟ	zzei
ㄠ	zzao
ㄡ	zzou
ㄢ	zzan
ㄣ	zzen
ㄤ	zzang
ㄥ	zzeng
ㄦ	zzer
ˉ	zzxa
ˊ	zzxb
ˇ	zzxc
ˋ	zzxd
˙	zzxe
ā	zpa
á	zpa
ǎ	zpa
à	zpa
ē	zpe
é	zpe
ě	zpe
è	zpe
ī	zpi
í	zpi
ǐ	zpi
ì	zpi
ō	zpo
ó	zpo
ǒ	zpo
ò	zpo
ū	zpu
ú	zpu
ǔ	zpu
ù	zpu
ǖ	zpv
ǘ	zpv
ǚ	zpv
ǜ	zpv
ü	zpv
ê	zpe
ɑ	zpa
ḿ	zpm
ń	zpn
ň	zpn
ǹ	zpn
ɡ	zpg
ˉ	zpxa
ˊ	zpxb
ˇ	zpxc
ˋ	zpxd
˙	zpxe
